INTEGRATION REFERENCES LIST                    MAR 18,2015  11:22    PAGE 1
      3898  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3899  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3900  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3901  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3902  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3903  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3904  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3905  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3906  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3907  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3908  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3909  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3910  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3911  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3912  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3913  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3914  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3915  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3916  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3917  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3918  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3919  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3920  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3921  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3922  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3923  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3924  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3925  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3926  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3927  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3928  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3929  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3930  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3931  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3932  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3933  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3934  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3935  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3936  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3937  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3938  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3939  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3940  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3941  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3942  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3943  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3944  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3945  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3946  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3947  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3948  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3949  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3950  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3951  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3952  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3953  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3954  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3955  FEB 13,2003  BAR CODE MED ADMIN
      3956  JUN  4,2003  MENTAL HEALTH
      3960  MAR  2,2004  CLINICAL REMINDERS
      3964  MAY 15,2003  CONSULT/REQUEST TRACKING
      3965  APR 25,2003  HEALTH SUMMARY
      3966  JUL 16,2003  TEXT INTEGRATION UTILITIES
      3967  APR 29,2003  HEALTH SUMMARY
      3968  APR 29,2003  HEALTH SUMMARY
      3969  APR 25,2003  HEALTH SUMMARY
      3972  FEB  5,2004  LAB SERVICE
      3976  JAN 16,2004  TEXT INTEGRATION UTILITIES
      3977  JAN 16,2004  TEXT INTEGRATION UTILITIES
      3978  FEB 14,2004  TEXT INTEGRATION UTILITIES
      3979  FEB 19,2003  MENTAL HEALTH
      3981  JUL 28,2004  LAB SERVICE
      3982  JAN 26,2005  MENTAL HEALTH
      3983  FEB 24,2003  CONSULT/REQUEST TRACKING
      3985  FEB 25,2003  TOOLKIT
      3986  APR  9,2003  VENDOR - DOCUMENT STORAGE SYS
      3987  APR  9,2003  VENDOR - DOCUMENT STORAGE SYS
      3988  MAR  6,2003  HEALTH LEVEL SEVEN
      3989  MAR  6,2003  ENROLLMENT APPLICATION SYSTEM
      3990  MAR 12,2003  DRG GROUPER
      3991  MAR 12,2003  DRG GROUPER
      3996  NOV 30,2005  GEN. MED. REC. - VITALS
      3999  APR  1,2003  BAR CODE MED ADMIN
      4000  APR  1,2003  BAR CODE MED ADMIN
      4001  APR  1,2003  ORDER ENTRY/RESULTS REPORTING
      4002  APR  1,2003  BAR CODE MED ADMIN
      4003  APR  1,2003  BAR CODE MED ADMIN
      4004  APR  1,2003  BAR CODE MED ADMIN
      4005  APR  1,2003  BAR CODE MED ADMIN
      4011  JAN 19,2006  KERNEL
      4026  APR  1,2003  BAR CODE MED ADMIN
      4027  MAR 25,2003  BAR CODE MED ADMIN
      4028  APR  1,2003  BAR CODE MED ADMIN
      4029  APR  1,2003  BAR CODE MED ADMIN
      4030  APR  1,2003  BAR CODE MED ADMIN
      4031  APR  1,2003  BAR CODE MED ADMIN
      4032  APR  1,2003  BAR CODE MED ADMIN
      4033  APR  1,2003  BAR CODE MED ADMIN
      4034  APR  1,2003  BAR CODE MED ADMIN
      4035  APR  1,2003  BAR CODE MED ADMIN
      4036  MAR 25,2003  MAILMAN
      4037  AUG  4,2003  TEXT INTEGRATION UTILITIES
      4042  APR 10,2003  INTEGRATED BILLING
      4043  APR  2,2003  ACCOUNTS RECEIVABLE
      4044  APR  8,2003  INTEGRATED BILLING
      4045  APR 14,2003  INTEGRATED BILLING
      4046  APR  9,2003  TEXT INTEGRATION UTILITIES
      4047  APR  9,2003  INTEGRATED BILLING
      4048  APR 11,2003  INTEGRATED BILLING
      4050  APR  7,2003  INTEGRATED BILLING
      4051  APR  7,2003  INTEGRATED BILLING
      4052  JUL 14,2003  DRG GROUPER
      4053  APR  1,2003  RPC BROKER
      4054  APR  1,2003  KERNEL
      4055  APR  1,2003  KERNEL
      4056  APR  1,2003  KERNEL
      4057  APR  1,2003  KERNEL
      4058  APR  1,2003  KERNEL
      4059  APR  1,2003  RPC BROKER
      4060  MAY 29,2003  KERNEL
      4061  JUN  4,2003  KERNEL
      4069  APR  1,2003  HEALTH LEVEL SEVEN
      4071  APR  1,2003  OUTPATIENT PHARMACY
      4072  APR 10,2003  TEXT INTEGRATION UTILITIES
      4073  APR  3,2003  RPC BROKER
      4074  APR  2,2003  INPATIENT MEDICATIONS
      4075  MAR  2,2004  TEXT INTEGRATION UTILITIES
      4076  AUG 16,2004  REGISTRATION
      4078  APR  9,2003  VA FILEMAN
      4079  APR  8,2003  REGISTRATION
      4080  APR  9,2003  REGISTRATION
      4081  APR 25,2003  TEXT INTEGRATION UTILITIES
      4082  APR 10,2003  TEXT INTEGRATION UTILITIES
      4083  APR 14,2003  LEXICON UTILITY
      4084  APR 30,2003  SCHEDULING
      4086  MAY  5,2003  KERNEL
      4087  MAY  5,2003  KERNEL
      4088  MAY 15,2003  KERNEL
      4089  MAY  5,2003  KERNEL
      4090  JUN 16,2003  VISTALINK
      4092  APR 29,2003  FEE BASIS
      4093  APR 24,2003  VA FILEMAN
      4094  APR 25,2003  TEXT INTEGRATION UTILITIES
      4095  APR 25,2003  TEXT INTEGRATION UTILITIES
      4097  MAY  5,2003  CLINICAL REMINDERS
      4098  MAY 19,2003  PHARMACY DATA MANAGEMENT
      4100  MAY 19,2003  KERNEL
      4101  NOV 18,2003  WOMEN'S HEALTH
      4102  NOV 18,2003  WOMEN'S HEALTH
      4103  NOV 18,2003  WOMEN'S HEALTH
      4104  NOV 18,2003  WOMEN'S HEALTH
      4105  NOV 18,2003  WOMEN'S HEALTH
      4106  OCT  6,2003  WOMEN'S HEALTH
      4108  JUL  2,2004  WOMEN'S HEALTH
      4109  MAY 15,2003  TEXT INTEGRATION UTILITIES
      4110  JUL 31,2003  CONSULT/REQUEST TRACKING
      4111  MAY 29,2003  SURGERY
      4112  MAY 29,2003  RADIOLOGY/NUCLEAR MEDICINE
      4113  JUN 11,2003  CLINICAL REMINDERS
      4114  JUL 31,2003  CLINICAL REMINDERS
      4115  MAY 29,2003  INTEGRATED BILLING
      4116  JUN  4,2003  REGISTRATION
      4117  JUN  5,2003  HEALTH LEVEL SEVEN
      4118  JUN  5,2003  INTEGRATED BILLING
      4119  JUN  5,2003  AUTHORIZATION/SUBSCRIPTION
      4120  JUL  8,2003  BAR CODE MED ADMIN
      4121  JUN 11,2003  INTEGRATED BILLING
      4122  DEC 13,2010  KERNEL
      4123  AUG 24,2004  TOOLKIT
      4124  AUG 12,2003  COMMUNICATIONS SERVICE LIBRARY
      4125  JUL 21,2003  CPT/HCPCS CODES
      4126  JUL 21,2003  DRG GROUPER
      4127  JUN 11,2003  AUTHORIZATION/SUBSCRIPTION
      4128  JUN 20,2003  INTEGRATED BILLING
      4129  JUN 30,2003  KERNEL
      4131  JUL 16,2003  EVENT CAPTURE
      4132  JUN 17,2003  KERNEL
      4133  JUN 25,2003  SCHEDULING
      4134  JUN 23,2003  ORDER ENTRY/RESULTS REPORTING
      4135  JUN 23,2003  ORDER ENTRY/RESULTS REPORTING
      4136  JUN 24,2003  VA FILEMAN
      4137  JUN 24,2003  VA FILEMAN
      4139  DEC 13,2010  VA FILEMAN
      4140  JUN 30,2003  VA FILEMAN
      4141  JUL  2,2003  MAILMAN
      4142  JUL 16,2003  KERNEL
      4143  JUL  3,2003  KERNEL
      4144  JUL  3,2003  KERNEL
      4145  JUL  3,2003  KERNEL
      4146  FEB 22,2007  E CLAIMS MGMT ENGINE
      4147  FEB 22,2007  TEXT INTEGRATION UTILITIES
      4149  JUL  3,2003  TOOLKIT
      4150  FEB 26,2007  E CLAIMS MGMT ENGINE
      4151  JUL 30,2003  IFCAP
      4153  JUL 15,2003  TOOLKIT
      4156  JUL 21,2003  REGISTRATION
      4163  JUL 29,2003  TEXT INTEGRATION UTILITIES
      4164  JUL 29,2003  TOOLKIT
      4165  JUL 29,2003  TOOLKIT
      4166  JUL 30,2003  CLINICAL CASE REGISTRIES
      4167  JUL 30,2003  ORDER ENTRY/RESULTS REPORTING
      4170  JUL 30,2003  CARE MANAGEMENT
      4171  JUL 31,2003  CONSULT/REQUEST TRACKING
      4172  AUG  1,2003  PHARMACY DATA MANAGEMENT
      4174  AUG  4,2003  TEXT INTEGRATION UTILITIES
      4175  AUG  4,2003  TEXT INTEGRATION UTILITIES
      4176  JUN 29,2004  PCE PATIENT CARE ENCOUNTER
      4177  JUN 29,2004  REGISTRATION
      4178  AUG  5,2003  GEN. MED. REC. - VITALS
      4179  SEP 29,2005  LAB SERVICE
      4180  AUG 11,2003  ORDER ENTRY/RESULTS REPORTING
      4183  AUG  5,2003  RADIOLOGY/NUCLEAR MEDICINE
      4184  OCT 22,2004  KERNEL
      4185  AUG  6,2003  LAB SERVICE
      4186  AUG  7,2003  RPC BROKER
      4187  AUG  7,2003  RPC BROKER
      4188  AUG  7,2003  RPC BROKER
      4189  AUG  7,2003  RPC BROKER
      4190  AUG  7,2003  RPC BROKER
      4191  AUG  7,2003  RPC BROKER
      4192  AUG 13,2003  REGISTRATION
      4193  AUG 20,2003  SCHEDULING
      4194  AUG 13,2003  SCHEDULING
      4195  AUG 11,2003  OUTPATIENT PHARMACY
      4196  AUG 20,2003  SCHEDULING
      4197  AUG 11,2003  RADIOLOGY/NUCLEAR MEDICINE
      4198  OCT  6,2003  REGISTRATION
      4199  AUG 13,2003  ORDER ENTRY/RESULTS REPORTING
      4200  AUG 13,2003  ORDER ENTRY/RESULTS REPORTING
      4201  AUG 13,2003  ORDER ENTRY/RESULTS REPORTING
      4202  AUG 13,2003  ORDER ENTRY/RESULTS REPORTING
      4203  AUG 13,2003  ORDER ENTRY/RESULTS REPORTING
      4204  AUG 15,2003  ORDER ENTRY/RESULTS REPORTING
      4205  DEC 23,2003  REGISTRATION
      4206  AUG 15,2003  ORDER ENTRY/RESULTS REPORTING
      4207  AUG 15,2003  ORDER ENTRY/RESULTS REPORTING
      4210  AUG 15,2003  ORDER ENTRY/RESULTS REPORTING
      4211  AUG 15,2003  ORDER ENTRY/RESULTS REPORTING
      4212  AUG 15,2003  ORDER ENTRY/RESULTS REPORTING
      4213  AUG 15,2003  ORDER ENTRY/RESULTS REPORTING
      4214  AUG 15,2003  ORDER ENTRY/RESULTS REPORTING
      4215  AUG 15,2003  ORDER ENTRY/RESULTS REPORTING
      4216  AUG 25,2003  SCHEDULING
      4220  NOV 17,2003  REGISTRATION
      4221  NOV 12,2003  REGISTRATION
      4222  DEC 13,2010  E CLAIMS MGMT ENGINE
      4224  SEP  4,2003  COMMUNICATIONS SERVICE LIBRARY
      4228  SEP  9,2003  HEALTHEVET DESKTOP
      4229  AUG 29,2003  VA FILEMAN
      4230  MAY 25,2004  CLINICAL PROCEDURES
      4231  MAY  7,2004  HEALTH SUMMARY
      4232  SEP 22,2003  KERNEL
      4235  SEP  4,2003  COMMUNICATIONS SERVICE LIBRARY
      4236  SEP  4,2003  COMMUNICATIONS SERVICE LIBRARY
      4237  SEP 22,2003  PHARMACY DATA MANAGEMENT
      4238  SEP 16,2003  REGISTRATION
      4239  SEP 16,2003  REGISTRATION
      4240  SEP 16,2003  PCE PATIENT CARE ENCOUNTER
      4241  AUG 18,2004  HEALTH LEVEL SEVEN
      4242  SEP 16,2003  REGISTRATION
      4243  SEP 16,2003  REGISTRATION
      4244  SEP 16,2003  REGISTRATION
      4245  NOV  6,2003  LAB SERVICE
      4246  NOV  6,2003  LAB SERVICE
      4247  NOV 20,2004  LAB SERVICE
      4248  AUG 24,2004  VDEF
      4249  AUG 24,2004  LAB SERVICE
      4250  SEP 15,2004  PCE PATIENT CARE ENCOUNTER
      4251  SEP 29,2003  GEN. MED. REC. - VITALS
      4252  AUG 31,2004  VA FILEMAN
      4253  SEP  1,2004  VDEF
      4255  OCT 28,2003  COMMUNICATIONS SERVICE LIBRARY
      4257  MAR  8,2007  TEXT INTEGRATION UTILITIES
      4258  OCT  6,2003  CLINICAL REMINDERS
      4260  JAN 13,2004  ACCOUNTS RECEIVABLE
      4262  SEP 29,2003  HEALTH LEVEL SEVEN
      4264  NOV  4,2003  INPATIENT MEDICATIONS
      4265  NOV  4,2003  INPATIENT MEDICATIONS
      4266  SEP  7,2004  AUTOMATED MED INFO EXCHANGE
      4271  AUG 31,2004  HEALTH LEVEL SEVEN
      4280  MAY 27,2004  REGISTRATION
      4281  DEC 14,2010  VA FILEMAN
      4283  OCT 23,2003  BAR CODE MED ADMIN
      4284  OCT 23,2003  BAR CODE MED ADMIN
      4285  OCT 23,2003  BAR CODE MED ADMIN
      4287  OCT 20,2003  ORDER ENTRY/RESULTS REPORTING
      4288  OCT 22,2003  INTEGRATED BILLING
      4289  OCT 30,2003  ACCOUNTS RECEIVABLE
      4290  DEC  8,2005  CLINICAL REMINDERS
      4291  NOV  4,2003  INCOME VERIFICATION MATCH
      4292  NOV  6,2003  REGISTRATION
      4293  NOV  6,2003  VA FILEMAN
      4294  NOV 13,2003  MASTER PATIENT INDEX VISTA
      4295  FEB 23,2004  PCE PATIENT CARE ENCOUNTER
      4297  DEC 23,2003  KERNEL
      4298  DEC 10,2003  LAB SERVICE
      4299  NOV 25,2003  INTEGRATED BILLING
      4304  DEC  3,2003  OUTPATIENT PHARMACY
      4306  DEC  3,2003  LEXICON UTILITY
      4307  DEC  8,2003  BAR CODE MED ADMIN
      4309  DEC 14,2010  VA FILEMAN
      4312  DEC 12,2003  REGISTRATION
      4313  DEC 16,2003  CAPACITY MANAGEMENT TOOLS
      4315  MAR 12,2007  TEXT INTEGRATION UTILITIES
      4316  AUG 24,2004  HEALTH LEVEL SEVEN
      4318  DEC 29,2003  REGISTRATION
      4321  AUG 31,2004  HEALTH LEVEL SEVEN
      4322  AUG 31,2004  HEALTH LEVEL SEVEN
      4323  SEP  1,2004  VA FILEMAN
      4324  DEC 31,2003  KERNEL
      4325  JAN  6,2004  TOOLKIT
      4326  SEP  1,2004  VA FILEMAN
      4327  FEB  3,2004  ORDER ENTRY/RESULTS REPORTING
      4328  JAN 30,2004  HEALTH SUMMARY
      4329  JAN 22,2004  KERNEL
      4330  JAN 22,2004  KERNEL
      4331  FEB  2,2004  TEXT INTEGRATION UTILITIES
      4332  FEB  2,2004  TEXT INTEGRATION UTILITIES
      4333  JAN 30,2004  HEALTH SUMMARY
      4334  JAN 30,2004  KERNEL
      4335  FEB 17,2004  AUTOMATED LAB INSTRUMENTS
      4336  FEB  9,2004  COMMUNICATIONS SERVICE LIBRARY
      4337  FEB  5,2004  LAB SERVICE
      4339  FEB 25,2004  COMMUNICATIONS SERVICE LIBRARY
      4340  FEB  9,2004  COMMUNICATIONS SERVICE LIBRARY
      4341  FEB 18,2004  COMMUNICATIONS SERVICE LIBRARY
      4342  FEB 17,2004  KERNEL
      4343  FEB 13,2004  AUTOMATED LAB INSTRUMENTS
      4344  FEB 17,2004  AUTOMATED LAB INSTRUMENTS
      4345  FEB 18,2004  PROSTHETICS
      4346  FEB 17,2004  REGISTRATION
      4347  FEB 17,2004  SCHEDULING
      4349  FEB 18,2004  ACCOUNTS RECEIVABLE
      4350  NOV 30,2005  GEN. MED. REC. - VITALS
      4353  NOV 30,2005  GEN. MED. REC. - VITALS
      4354  NOV 30,2005  GEN. MED. REC. - VITALS
      4355  NOV 30,2005  GEN. MED. REC. - VITALS
      4357  NOV 30,2005  GEN. MED. REC. - VITALS
      4358  NOV 30,2005  GEN. MED. REC. - VITALS
      4359  NOV 30,2005  GEN. MED. REC. - VITALS
      4360  NOV 30,2005  GEN. MED. REC. - VITALS
      4362  FEB 20,2004  GEN. MED. REC. - VITALS
      4366  NOV 30,2005  GEN. MED. REC. - VITALS
      4367  NOV 30,2005  GEN. MED. REC. - VITALS
      4370  MAR 28,2007  ACCOUNTS RECEIVABLE
      4371  FEB 25,2004  CLINICAL REMINDERS
      4372  FEB 25,2004  CLINICAL REMINDERS
      4373  FEB 25,2004  CLINICAL REMINDERS
      4374  FEB 25,2004  ADVERSE REACTION TRACKING
      4375  FEB 26,2004  CLINICAL REMINDERS
      4376  MAR  2,2004  VA FILEMAN
      4377  MAR  3,2004  TEXT INTEGRATION UTILITIES
      4378  APR 29,2004  HEALTH LEVEL SEVEN
      4381  JUN  3,2004  ORDER ENTRY/RESULTS REPORTING
      4382  MAR 25,2004  ORDER ENTRY/RESULTS REPORTING
      4383  MAR 29,2004  REGISTRATION
      4384  MAR 29,2004  REGISTRATION
      4385  MAR 31,2004  INTEGRATED BILLING
      4386  MAR 29,2004  TEXT INTEGRATION UTILITIES
      4387  MAR 29,2004  TEXT INTEGRATION UTILITIES
      4389  APR 13,2004  KERNEL
      4390  APR 13,2004  KERNEL
      4391  APR  7,2004  INTEGRATED BILLING
      4392  APR  7,2004  PAID
      4394  APR  7,2004  PHARMACY DATA MANAGEMENT
      4395  MAY  4,2004  FEE BASIS
      4396  MAY  4,2004  FEE BASIS
      4397  APR  8,2004  VA FILEMAN
      4398  APR  9,2004  REGISTRATION
      4399  APR 13,2004  VA FILEMAN
      4401  APR 23,2004  CLINICAL INFO RESOURCE NETWORK
      4402  APR 22,2004  VA FILEMAN
      4403  APR 22,2004  VA FILEMAN
      4404  APR 22,2004  VA FILEMAN
      4405  APR 22,2004  VA FILEMAN
      4406  APR 22,2004  VA FILEMAN
      4408  JUN 24,2004  REGISTRATION
      4409  APR 23,2004  KERNEL
      4410  NOV 10,2005  E CLAIMS MGMT ENGINE
      4411  NOV 10,2005  E CLAIMS MGMT ENGINE
      4412  JUN 21,2004  E CLAIMS MGMT ENGINE
      4414  NOV 30,2005  GEN. MED. REC. - VITALS
      4415  JUN 21,2004  E CLAIMS MGMT ENGINE
      4416  NOV 30,2005  GEN. MED. REC. - VITALS
      4417  NOV  9,2005  CLINICAL REMINDERS
      4418  APR 28,2004  REGISTRATION
      4419  MAY  7,2004  INTEGRATED BILLING
      4420  NOV 30,2005  GEN. MED. REC. - VITALS
      4422  NOV 17,2005  SCHEDULING
      4423  NOV 10,2005  E CLAIMS MGMT ENGINE
      4424  NOV 29,2005  PCE PATIENT CARE ENCOUNTER
      4425  MAY  7,2004  REGISTRATION
      4426  MAY 18,2004  TEXT INTEGRATION UTILITIES
      4427  MAY 13,2004  SURGERY
      4428  MAY 19,2004  ORDER ENTRY/RESULTS REPORTING
      4430  MAY 24,2004  REGISTRATION
      4432  APR  3,2007  FEE BASIS
      4433  MAY 25,2004  SCHEDULING
      4434  MAY 26,2004  INTEGRATED BILLING
      4435  MAY 27,2004  INTEGRATED BILLING
      4436  JUN  3,2004  REGISTRATION
      4439  JUN 30,2004  MAILMAN
      4440  JUN 17,2004  KERNEL
      4441  JUN 29,2004  VA FILEMAN
      4442  JAN 26,2005  MENTAL HEALTH
      4443  JUL  2,2004  ORDER ENTRY/RESULTS REPORTING
      4444  JUL  2,2004  PHARMACY DATA MANAGEMENT
      4445  JUL  2,2004  NATIONAL DRUG FILE
      4446  JUL  6,2004  NATIONAL DRUG FILE
      4447  AUG 31,2004  VDEF
      4448  JUL  6,2004  NATIONAL DRUG FILE
      4449  JUL  6,2004  PHARMACY DATA MANAGEMENT
      4450  JUL  6,2004  SCHEDULING
      4452  JUL 13,2004  ORDER ENTRY/RESULTS REPORTING
      4453  JUL 13,2004  REGISTRATION
      4454  JUL 12,2004  VA FILEMAN
      4455  JAN  3,2005  CLINICAL REMINDERS
      4456  AUG  3,2004  SCHEDULING
      4457  AUG  4,2004  REGISTRATION
      4458  AUG  3,2006  MENTAL HEALTH
      4459  DEC  2,2005  REGISTRATION
      4460  DEC  5,2005  EVENT CAPTURE
      4461  JAN  3,2006  GEN. MED. REC. - VITALS
      4462  DEC 13,2005  REGISTRATION
      4463  DEC 20,2005  MENTAL HEALTH
      4464  DEC 20,2005  MASTER PATIENT INDEX VISTA
      4466  JUL 22,2004  CLINICAL INFO RESOURCE NETWORK
      4467  JUL 26,2004  KERNEL
      4468  JUL 23,2004  VA FILEMAN
      4472  JAN 11,2006  CONTROLLED SUBSTANCES
      4473  JAN 17,2006  CLINICAL REMINDERS
      4474  JAN 17,2006  CLINICAL REMINDERS
      4475  JAN 25,2006  VA FILEMAN
      4476  JAN 25,2006  TEXT INTEGRATION UTILITIES
      4477  JAN 25,2006  TEXT INTEGRATION UTILITIES
      4478  JAN 25,2006  TEXT INTEGRATION UTILITIES
      4479  JAN 26,2006  ENROLLMENT APPLICATION SYSTEM
      4480  FEB  6,2006  PHARMACY DATA MANAGEMENT
      4481  FEB 14,2006  HEALTH LEVEL SEVEN
      4482  JUL 28,2004  SCHEDULING
      4485  JUL 28,2004  DRG GROUPER
      4486  JUL 28,2004  DRG GROUPER
      4487  JUL 28,2004  DRG GROUPER
      4488  JUL 28,2004  DRG GROUPER
      4489  JUL 28,2004  CPT/HCPCS CODES
      4490  JUL 28,2004  CPT/HCPCS CODES
      4491  JUL 28,2004  CPT/HCPCS CODES
      4492  JUL 28,2004  CPT/HCPCS CODES
      4493  FEB 14,2006  HEALTH LEVEL SEVEN
      4494  APR  3,2007  VA FILEMAN
      4495  AUG  4,2004  REGISTRATION
      4497  AUG 17,2004  KERNEL
      4498  NOV  9,2004  ORDER ENTRY/RESULTS REPORTING
      4499  AUG 17,2004  ENROLLMENT APPLICATION SYSTEM
      4501  AUG 23,2004  WOMEN'S HEALTH
      4502  SEP 10,2004  SURGERY
      4503  AUG 26,2004  ENROLLMENT APPLICATION SYSTEM
      4504  SEP  8,2004  GEN. MED. REC. - VITALS
      4507  SEP 24,2004  VA FILEMAN
      4508  JAN 31,2005  TEXT INTEGRATION UTILITIES
      4509  SEP 23,2004  REGISTRATION
      4510  SEP 23,2004  LAB SERVICE
      4511  JAN 26,2006  KERNEL
      4514  JAN 31,2006  MENTAL HEALTH
      4515  FEB 13,2006  BAR CODE MED ADMIN
      4516  NOV  9,2004  PROBLEM LIST
      4517  FEB  6,2006  ORDER ENTRY/RESULTS REPORTING
      4518  APR  5,2007  SCHEDULING
      4519  NOV 17,2004  PCE PATIENT CARE ENCOUNTER
      4520  NOV 20,2004  PCE PATIENT CARE ENCOUNTER
      4521  OCT 29,2004  REGISTRATION
      4522  NOV  2,2004  OUTPATIENT PHARMACY
      4523  NOV 12,2004  MENTAL HEALTH
      4524  OCT 14,2004  INTEGRATED BILLING
      4525  OCT 26,2004  WOMEN'S HEALTH
      4526  OCT 29,2004  IMAGING
      4527  OCT 26,2004  CLINICAL REMINDERS
      4528  OCT 29,2004  IMAGING
      4529  OCT 26,2004  IMAGING
      4530  OCT 29,2004  IMAGING
      4531  DEC 14,2004  NATIONAL DRUG FILE
      4532  MAR 22,2006  KERNEL
      4533  DEC 14,2004  PHARMACY DATA MANAGEMENT
      4534  FEB 13,2006  REGISTRATION
      4535  FEB 14,2006  REGISTRATION
      4536  FEB 14,2006  REGISTRATION
      4537  SEP 21,2006  INPATIENT MEDICATIONS
      4538  FEB 28,2006  INTEGRATED BILLING
      4539  FEB 28,2006  KERNEL
      4540  DEC 14,2004  NATIONAL DRUG FILE
      4541  MAR  2,2006  INTEGRATED BILLING
      4542  APR 13,2006  VA FILEMAN
      4543  DEC 27,2004  NATIONAL DRUG FILE
      4544  MAR  8,2006  CMOP
      4545  DEC 14,2004  NATIONAL DRUG FILE
